feature,importance
Lag_15min,0.27586086370628693
Lag_30min,0.22072723463246466
Lag_1h,0.15532918046780342
Lag_24h,0.10985019999513528
Stunde (Lokal),0.10186289876812435
Globalstrahlung; Zehnminutenmittel_lag15,0.05393279205133878
Diffusstrahlung; Zehnminutenmittel_lag15,0.03644196371090992
IstArbeitstag,0.021031047989359983
Sonnenscheindauer; Zehnminutensumme_lag15,0.009469414108350997
Lufttemperatur Bodenoberfläche_lag15,0.006038878131614501
Lufttemperatur 2 m ü. Gras_lag15,0.004260342579988307
Lufttemperatur 2 m ü. Boden_lag15,0.0020509291778746646
Chilltemperatur_lag15,0.0016811028533971636
relative Luftfeuchtigkeit_lag15,0.0012113119558758612
Böenspitze (Sekundenböe)_lag15,0.00025183987147512
