feature,delta_RMSE_mean,delta_RMSE_std
Stunde_cos,2397.1658787992246,53.916119354112915
Stunde_sin,1592.2022753260894,24.28498274126934
Wochentag_sin,1025.281194555098,71.71179173549977
Globalstrahlung; Zehnminutenmittel_lag15,502.5775671778456,20.621348631701437
Wochentag_cos,222.98478504671712,12.323833013596532
Diffusstrahlung; Zehnminutenmittel_lag15,169.74852007788655,4.000379542423393
IstArbeitstag,84.34987096315797,16.106891728162477
IstSonntag,50.07026463782088,3.4074021025276013
Monat_sin,16.31144089967388,2.2709828689149107
Sonnenscheindauer; Zehnminutensumme_lag15,12.517984258734373,2.869707100932011
Lag_1h,0.0,0.0
Lag_24h,0.0,0.0
Niederschlag; Zehnminutensumme_lag15,-6.482880780727283,9.773574561850282
Woche des Jahres,-7.468009975280074,9.968571280201516
Windgeschwindigkeit skalar; Zehnminutenmittel in m/s_lag15,-15.412670312220758,7.587681453292088
Langwellige Einstrahlung; Zehnminutenmittel_lag15,-23.674735136456114,19.11264128607412
Taupunkt 2 m ü. Boden_lag15,-37.1914977250417,11.107538968153998
TagJahr_cos,-42.81681978697361,20.95993900982843
Lufttemperatur 2 m ü. Boden_lag15,-48.077099915231045,24.374535935221402
TagJahr_sin,-49.49173349155624,3.8033113016078017
Chilltemperatur_lag15,-54.8252287461404,17.886650991215213
Dampfdruck 2 m ü. Boden_lag15,-66.39632691870698,13.847291842342177
Monat_cos,-68.39661738087864,1.669842041321285
Böenspitze (Sekundenböe)_lag15,-68.541940043654,14.000564374922579
